name,shape,dtype,bytes,row,column,block,chosen,runner_up_gap
net.action2llm.bias.weight,"[32, 4096]",torch.bfloat16,262144,0.0006921893724494931,3.571134741516684e-15,0.0005196768585812317,column,519676858.57766056
net.action2llm.fc.weight,"[32, 262144]",torch.bfloat16,16777216,0.0006950026217180928,3.5408441198484648e-15,0.0005200889286894441,column,520088928.6859032
net.language_model.model.layers.0._checkpoint_wrapped_module.mlp_moe_gen.down_proj.weight,"[4096, 12288]",torch.bfloat16,100663296,0.000589799335662563,0.0006814030768419036,0.00010665541466581215,block,4.529952112704318
net.language_model.model.layers.0._checkpoint_wrapped_module.mlp_moe_gen.gate_proj.weight,"[12288, 4096]",torch.bfloat16,100663296,0.0005924917533342441,0.0006035527187197359,0.0002852204121950665,block,1.077311889336413
net.language_model.model.layers.0._checkpoint_wrapped_module.mlp_moe_gen.up_proj.weight,"[12288, 4096]",torch.bfloat16,100663296,0.0006086993988603717,0.0005817994977605651,0.0003056384060887216,block,0.9035549399890491
net.language_model.model.layers.0._checkpoint_wrapped_module.self_attn.k_proj_moe_gen.weight,"[1024, 4096]",torch.bfloat16,8388608,0.000544778058962686,0.0005249458385776023,0.00015989453030044169,block,2.2830756473734874
net.language_model.model.layers.0._checkpoint_wrapped_module.self_attn.o_proj_moe_gen.weight,"[4096, 4096]",torch.bfloat16,33554432,0.0006174070537603511,0.0006796487638653132,0.0005150553410433128,block,0.19871983563884887
net.language_model.model.layers.0._checkpoint_wrapped_module.self_attn.q_proj_moe_gen.weight,"[4096, 4096]",torch.bfloat16,33554432,0.0005639100659128331,0.00048385231794673123,0.00022737928359850277,block,1.1279525130402746
net.language_model.model.layers.0._checkpoint_wrapped_module.self_attn.v_proj_moe_gen.weight,"[1024, 4096]",torch.bfloat16,8388608,0.0005242700000372601,0.0006557995566506272,0.0001311741505260528,block,2.9967478190997214
net.language_model.model.layers.1._checkpoint_wrapped_module.mlp_moe_gen.down_proj.weight,"[4096, 12288]",torch.bfloat16,100663296,0.000613632136046925,0.000668126011644973,9.322077536432052e-05,block,5.582568463400571
net.language_model.model.layers.1._checkpoint_wrapped_module.mlp_moe_gen.gate_proj.weight,"[12288, 4096]",torch.bfloat16,100663296,0.00041592713428519247,0.000540854331702979,0.00019212243302339254,block,1.1649066573841995
net.language_model.model.layers.1._checkpoint_wrapped_module.mlp_moe_gen.up_proj.weight,"[12288, 4096]",torch.bfloat16,100663296,0.00047746357948772,0.0006542553728458625,0.00023468876841083386,block,1.034454323148082
